author_1,author_2,weight
https://openalex.org/A5046740363,https://openalex.org/A5060956412,2
https://openalex.org/A5046740363,https://openalex.org/A5087416292,2
https://openalex.org/A5034438905,https://openalex.org/A5046740363,4
https://openalex.org/A5060956412,https://openalex.org/A5083317378,2
https://openalex.org/A5083317378,https://openalex.org/A5087416292,2
https://openalex.org/A5034438905,https://openalex.org/A5083317378,2
https://openalex.org/A5060956412,https://openalex.org/A5087416292,2
https://openalex.org/A5034438905,https://openalex.org/A5060956412,4
https://openalex.org/A5034438905,https://openalex.org/A5087416292,3
https://openalex.org/A5008069881,https://openalex.org/A5034438905,2
https://openalex.org/A5008069881,https://openalex.org/A5046740363,2
https://openalex.org/A5005203311,https://openalex.org/A5088450787,1
https://openalex.org/A5060001295,https://openalex.org/A5088450787,1
https://openalex.org/A5034438905,https://openalex.org/A5088450787,1
https://openalex.org/A5005203311,https://openalex.org/A5060001295,1
